Date,open,high,low,Close,volume
2016-09-15,24.7984,25.043,24.7351,24.9418,6105244
2016-09-16,24.5959,24.6204,24.326,24.4525,9224278
2016-09-19,24.849,24.8658,24.6044,24.6297,3744152
2016-09-20,24.8827,24.8912,24.6852,24.8068,5723157
2016-09-21,24.9418,25.2201,24.849,25.1948,5301135
2016-09-22,25.2032,25.2454,24.9418,24.9924,4759020
2016-09-23,24.5538,24.6212,24.5031,24.5875,6594085
2016-09-26,24.4188,24.5706,24.3176,24.52,5428168
2016-09-27,24.3935,24.7393,24.3345,24.6887,4164910
2016-09-28,24.8405,24.9418,24.714,24.8743,4487587
2016-09-29,24.9249,24.9333,24.4778,24.5622,4986249
2016-09-30,24.7309,24.7562,24.5369,24.5875,4732148
2016-10-03,24.5706,24.7393,24.4989,24.6212,4642995
2016-10-04,24.9165,25.0345,24.6465,24.714,5303789
2016-10-05,24.5959,24.6381,24.4525,24.5453,3865519
2016-10-06,24.0898,24.2164,24.0139,24.0814,5822411
2016-10-07,23.8537,23.9127,23.7193,23.7946,6465358
2016-10-10,23.8368,23.9886,23.7946,23.8368,5626416
2016-10-11,23.9043,23.9211,23.4488,23.491,6404251
2016-10-12,23.5585,23.5838,23.3307,23.5078,5754968
2016-10-13,23.3054,23.5416,23.2379,23.5078,8620148
2016-10-14,23.6091,23.6765,23.4488,23.4488,4220068
2016-10-17,23.3729,23.4994,23.3307,23.4572,4623622
2016-10-18,23.8537,23.9211,23.7271,23.744,4879789
2016-10-19,23.4994,23.5863,23.4151,23.4151,4196615
2016-10-20,23.3813,23.5289,23.356,23.4657,3737686
2016-10-21,23.297,23.4572,23.2632,23.4235,3569905
2016-10-24,23.3729,23.4151,23.3054,23.3391,4054605
2016-10-25,23.6091,23.6597,23.4404,23.5416,4641324
2016-10-26,23.4404,23.7103,23.4319,23.5838,5038693
2016-10-27,23.6681,23.685,23.491,23.491,3910421
2016-10-28,23.6259,23.7229,23.5585,23.6006,4901369
2016-10-31,23.3982,23.5669,23.356,23.4825,2600049
2016-11-01,23.3729,23.3982,23.1114,23.1873,5093716
2016-11-02,23.3223,23.3223,22.9975,23.0102,4291576
2016-11-03,23.2464,23.3307,23.0439,23.0692,4794788
2016-11-04,23.0102,23.0861,22.8668,22.8752,6969506
2016-11-07,22.8752,22.9933,22.774,22.9258,6533312
2016-11-08,22.8584,23.0692,22.7993,23.0102,3661019
2016-11-09,22.7234,23.1958,22.6559,23.0945,8458997
2016-11-10,22.6053,22.6475,22.192,22.3354,12993498
2016-11-11,22.2848,22.327,21.9727,22.0908,5846177
2016-11-14,21.9896,21.998,21.7281,21.8293,6364789
2016-11-15,21.6353,21.6775,21.3991,21.6184,8690180
2016-11-16,21.5425,21.8377,21.5425,21.7028,9871121
2016-11-17,21.9052,22.0149,21.8631,21.9727,7240100
2016-11-18,21.6944,21.7703,21.5847,21.669,4902855
2016-11-21,21.6522,21.7534,21.4835,21.5172,6265925
2016-11-22,22.0058,22.1198,21.9356,22.0847,5852692
2016-11-23,21.6286,21.883,21.5585,21.8216,8518073
2016-11-25,22.0233,22.1023,21.9795,22.0935,2991652
2016-11-28,21.6988,21.7339,21.4971,21.5146,8432377
2016-11-29,21.5672,21.6453,21.462,21.4795,6721725
2016-11-30,21.8041,21.8348,21.4357,21.4357,8209004
2016-12-01,21.5585,21.576,21.1989,21.3129,8672726
2016-12-02,21.3743,21.6023,21.3392,21.4357,7637625
2016-12-05,21.7076,21.7164,21.3129,21.3392,9630504
2016-12-06,21.4883,21.5848,21.348,21.4883,5550625
2016-12-07,21.6813,21.9093,21.6023,21.9005,6306905
2016-12-08,21.8567,22.0146,21.8129,21.9532,5143760
2016-12-09,21.997,22.1286,21.8742,22.1023,5329470
2016-12-12,22.0496,22.1987,21.9137,21.9532,6527552
2016-12-13,22.2601,22.4706,22.1987,22.3215,6850870
2016-12-14,22.3566,22.3566,21.9619,22.0321,6126646
2016-12-15,21.883,21.9093,21.6286,21.6462,5820546
2016-12-16,21.9532,22.1549,21.8391,22.1373,9570292
2016-12-19,22.1198,22.1724,22.0175,22.0409,5107147
2016-12-20,21.9619,21.9619,21.7865,21.8304,4835870
2016-12-21,21.8479,21.9005,21.6988,21.7427,5472200
2016-12-22,21.7427,21.7602,21.6286,21.6813,5072650
2016-12-23,21.69,21.7251,21.5585,21.6199,3643708
2016-12-27,21.6462,21.6637,21.4883,21.5234,4805506
2016-12-28,21.4708,21.5146,21.3392,21.3918,8334452
2016-12-29,21.6111,21.6286,21.4357,21.5146,8653098
2016-12-30,21.576,21.5892,21.3655,21.4269,6356102
2017-01-03,21.7865,21.9532,21.6988,21.8918,7692798
2017-01-04,22.1373,22.418,22.1198,22.3917,6592052
2017-01-05,22.6987,23.1021,22.6899,23.067,8265101
2017-01-06,22.9706,23.0934,22.9092,23.0056,6614857
2017-01-09,22.5233,22.532,22.3742,22.4356,6261203
2017-01-10,22.9267,22.953,22.725,22.8302,7575215
2017-01-11,22.9443,23.2819,22.8785,23.26,9948894
2017-01-12,23.1548,23.431,23.1021,23.374,7883357
2017-01-13,23.2161,23.3477,23.1679,23.2688,5874089
2017-01-17,22.7601,23.0407,22.7601,23.0144,10131941
2017-01-18,22.8215,22.8916,22.7513,22.7776,6165762
2017-01-19,22.6373,22.7338,22.5759,22.6636,5800221
2017-01-20,22.6285,22.6724,22.554,22.6197,4225991
2017-01-23,22.6548,22.7952,22.5145,22.7425,4155851
2017-01-24,22.1724,22.3566,22.0496,22.3215,7940386
2017-01-25,21.7514,21.769,21.5322,21.7514,12650723
2017-01-26,21.6199,21.6725,21.5146,21.6111,9071466
2017-01-27,21.5497,21.655,21.5059,21.5585,4627170
2017-01-30,21.883,21.9444,21.7427,21.8391,6400624
2017-01-31,21.7164,21.883,21.7076,21.8391,5196779
2017-02-01,21.9181,21.9225,21.6374,21.7514,4834050
2017-02-02,21.576,21.7164,21.5461,21.655,6006450
2017-02-03,21.5936,21.7076,21.5585,21.6023,4171160
2017-02-06,21.3743,21.4532,21.3304,21.4181,5074491
2017-02-07,21.4006,21.4883,21.3217,21.4445,4981435
2017-02-08,21.8041,21.9005,21.7251,21.8128,6124873
2017-02-09,22.2251,22.2426,22.1023,22.1812,6739839
2017-02-10,21.9532,22.0584,21.9005,21.9268,4150748
2017-02-13,21.9882,22.0058,21.7777,21.9181,3041132
2017-02-14,21.8304,21.883,21.7339,21.8216,3087483
2017-02-15,21.69,21.9663,21.6462,21.9532,4351612
2017-02-16,22.076,22.1724,22.0409,22.1198,4095063
2017-02-17,21.8304,22.0409,21.747,22.0233,4414961
2017-02-21,22.304,22.383,22.2075,22.3654,4930440
2017-02-22,22.418,22.4443,22.2864,22.3654,3922725
2017-02-23,22.4969,22.6285,22.4268,22.6022,4358578
2017-02-24,22.5496,22.6811,22.4969,22.5671,4245346
2017-02-27,22.2251,22.3522,22.2031,22.2864,3539196
2017-02-28,22.418,22.4846,22.2514,22.2864,3395469
2017-03-01,22.1286,22.2952,22.0935,22.19,3436192
2017-03-02,22.1023,22.2339,22.0716,22.1373,3302451
2017-03-03,22.1023,22.1856,21.9971,22.1637,4191461
2017-03-06,22.0935,22.0935,22.0058,22.0409,2859066
2017-03-07,21.9444,22.0409,21.9014,21.9619,2693172
2017-03-08,22.1023,22.1198,21.9444,21.9795,4647328
2017-03-09,22.0935,22.1198,21.9795,22.0935,5033396
2017-03-10,22.0321,22.1944,22.0233,22.1637,3908521
2017-03-13,22.1812,22.2251,22.0935,22.1987,4284906
2017-03-14,22.1461,22.19,22.076,22.1023,3310755
2017-03-15,22.1724,22.8565,22.1373,22.6987,12233428
2017-03-16,22.8829,23.146,22.8741,23.1372,7451212
2017-03-17,23.1811,23.3302,23.0846,23.2863,5186120
2017-03-20,23.3039,23.3916,23.1284,23.2249,4399822
2017-03-21,23.453,23.4793,23.2337,23.26,5146026
2017-03-22,23.0802,23.2951,22.9443,23.2688,7324480
2017-03-23,23.26,23.6284,23.2425,23.488,6729966
